study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Coskun2018		sad	56.0	TIR_sad1	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad1	0.0	hr	1.0	0.0				EMA	0.0	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad1	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad1	8.0	hr	1.0	1.7477499702327252e-05	109.134863331614	5.1950361184158315e-06	6.94215902393858e-07	EMA	7.27797833935017	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad1	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad1	12.0	hr	1.0	2.085246516208697e-05	121.808922124807	4.453079426071984e-06	5.950677688733313e-07	EMA	23.6534296028881	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad1	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad1	24.0	hr	1.0	2.1275675116564837e-05	120.281072717896	3.7124620057357105e-06	4.96098603102808e-07	EMA	47.3068592057762	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad1	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad1	48.0	hr	1.0	2.095960692271426e-05	116.961062403301	3.3388051155481207e-06	4.461666008424737e-07	EMA	72.1732851985559	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad1	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad1	72.0	hr	1.0	1.915694680016007e-05	102.92676637442	2.22587007703206e-06	2.9744440056164634e-07	EMA	95.826714801444	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad1	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad1	96.0	hr	1.0	1.624135163908986e-05	90.6846312532234	2.5981876952118687e-06	3.471974350719525e-07	EMA	119.480144404332	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad1	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad1	168.0	hr	1.0	1.3379327358333297e-05	73.3432181536875	1.8575702748756787e-06	2.4822826930143945e-07	EMA	167.393501805054	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad1	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad1	336.0	hr	1.0	4.848164668385033e-06	23.3303249097473	1.3392720078435002e-09	1.7896775003738423e-10	EMA	336.0	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad1	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad1	672.0	hr	1.0	2.2513162451810074e-06	25.1418256833419	2.971844585399542e-06	3.971294373322971e-07	EMA	672.0	mole/meter^3	ng/ml
