study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Urva2022		moderate	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	0.0	hr		0.0				.	0.785964912280718	mole/meter^3	ng/ml
Urva2022		moderate	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	8.0	hr		8.018338990945765e-05	514.035087719299	2.6606306651774675e-05	1.086197920614433e-05		3.31228070175445	mole/meter^3	ng/ml
Urva2022		moderate	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	12.0	hr		0.00010423840688229504	624.561403508772	2.551289678937274e-05	1.0415596499042407e-05		8.78596491228078	mole/meter^3	ng/ml
Urva2022		moderate	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	24.0	hr		0.00010861204633190173	761.40350877193	4.956791376221012e-05	2.023601605528248e-05		19.8175438596492	mole/meter^3	ng/ml
Urva2022		moderate	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	48.0	hr		7.508081055158307e-05	436.842105263158	1.567220802775761e-05	6.398152135126074e-06		45.1087719298246	mole/meter^3	ng/ml
Urva2022		moderate	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	72.0	hr		6.414671192756622e-05	380.701754385965	1.494326811948972e-05	6.100563663724832e-06		68.7298245614035	mole/meter^3	ng/ml
Urva2022		moderate	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	96.0	hr		6.050201238622719e-05	352.631578947369	1.2756448394686474e-05	5.207798249521255e-06		92.8701754385965	mole/meter^3	ng/ml
Urva2022		moderate	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	168.0	hr		4.592321422087131e-05	263.157894736842	8.747278899213404e-06	3.571061656814494e-06		164.631578947368	mole/meter^3	ng/ml
Urva2022		moderate	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	336.0	hr		1.2756448394686454e-05	100.0	8.018338990945745e-06	3.2734731854133365e-06		333.108771929824	mole/meter^3	ng/ml
Urva2022		moderate	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	672.0	hr		3.280229587205099e-06					665.473684210526	mole/meter^3	ng/ml
